"","Year","Location","Average_Income_from_All_Sources_collected","Median_Income_from_All_Sources_collected","Number_of_households","Scene","Offence","Measure","Value","Flags"
"410",2006,"Auckland District",1344,1166,440.6,"Total Scene","Fraud, deception and related offences","Recorded",2679,NA
"411",2006,"Auckland District",1344,1166,440.6,"Total Scene","Illicit drug offences","Recorded",2661,NA
"412",2006,"Auckland District",1344,1166,440.6,"Total Scene","Prohibited and regulated weapons and explosives offences","Recorded",966,NA
"413",2006,"Auckland District",1344,1166,440.6,"Total Scene","Property damage and environmental pollution","Recorded",3913,NA
"414",2006,"Auckland District",1344,1166,440.6,"Total Scene","Public order offences","Recorded",4606,NA
"415",2006,"Auckland District",1344,1166,440.6,"Total Scene","Offences against justice procedures, government security and government operations","Recorded",2869,NA
"416",2006,"Auckland District",1344,1166,440.6,"Total Scene","Miscellaneous offences","Recorded",104,NA
"417",2007,"Auckland District",1425,1218,450.7,"Total Scene","Total Offences","Recorded",57187,NA
"418",2007,"Auckland District",1425,1218,450.7,"Total Scene","Homicide and related offences","Recorded",6,NA
"419",2007,"Auckland District",1425,1218,450.7,"Total Scene","Acts intended to cause injury","Recorded",3168,NA
"420",2007,"Auckland District",1425,1218,450.7,"Total Scene","Sexual assault and related offences","Recorded",297,NA
"421",2007,"Auckland District",1425,1218,450.7,"Total Scene","Dangerous or negligent acts endangering persons","Recorded",59,NA
"422",2007,"Auckland District",1425,1218,450.7,"Total Scene","Abduction, harassment and other related offences against a person","Recorded",1092,NA
"423",2007,"Auckland District",1425,1218,450.7,"Total Scene","Robbery, extortion and related offences","Recorded",602,NA
"424",2007,"Auckland District",1425,1218,450.7,"Total Scene","Unlawful entry with intent/burglary, break and enter","Recorded",8151,NA
"425",2007,"Auckland District",1425,1218,450.7,"Total Scene","Theft and related offences","Recorded",24181,NA
"426",2007,"Auckland District",1425,1218,450.7,"Total Scene","Fraud, deception and related offences","Recorded",3128,NA
"427",2007,"Auckland District",1425,1218,450.7,"Total Scene","Illicit drug offences","Recorded",2331,NA
"428",2007,"Auckland District",1425,1218,450.7,"Total Scene","Prohibited and regulated weapons and explosives offences","Recorded",766,NA
"429",2007,"Auckland District",1425,1218,450.7,"Total Scene","Property damage and environmental pollution","Recorded",4974,NA
"430",2007,"Auckland District",1425,1218,450.7,"Total Scene","Public order offences","Recorded",5257,NA
"431",2007,"Auckland District",1425,1218,450.7,"Total Scene","Offences against justice procedures, government security and government operations","Recorded",3004,NA
"432",2007,"Auckland District",1425,1218,450.7,"Total Scene","Miscellaneous offences","Recorded",171,NA
"433",2008,"Auckland District",1516,1304,457.5,"Total Scene","Total Offences","Recorded",54928,NA
"434",2008,"Auckland District",1516,1304,457.5,"Total Scene","Homicide and related offences","Recorded",8,NA
"435",2008,"Auckland District",1516,1304,457.5,"Total Scene","Acts intended to cause injury","Recorded",3380,NA
"436",2008,"Auckland District",1516,1304,457.5,"Total Scene","Sexual assault and related offences","Recorded",224,NA
"437",2008,"Auckland District",1516,1304,457.5,"Total Scene","Dangerous or negligent acts endangering persons","Recorded",42,NA
"438",2008,"Auckland District",1516,1304,457.5,"Total Scene","Abduction, harassment and other related offences against a person","Recorded",1046,NA
"439",2008,"Auckland District",1516,1304,457.5,"Total Scene","Robbery, extortion and related offences","Recorded",537,NA
"440",2008,"Auckland District",1516,1304,457.5,"Total Scene","Unlawful entry with intent/burglary, break and enter","Recorded",8847,NA
"441",2008,"Auckland District",1516,1304,457.5,"Total Scene","Theft and related offences","Recorded",21335,NA
"442",2008,"Auckland District",1516,1304,457.5,"Total Scene","Fraud, deception and related offences","Recorded",3713,NA
"443",2008,"Auckland District",1516,1304,457.5,"Total Scene","Illicit drug offences","Recorded",2388,NA
"444",2008,"Auckland District",1516,1304,457.5,"Total Scene","Prohibited and regulated weapons and explosives offences","Recorded",635,NA
"445",2008,"Auckland District",1516,1304,457.5,"Total Scene","Property damage and environmental pollution","Recorded",4574,NA
"446",2008,"Auckland District",1516,1304,457.5,"Total Scene","Public order offences","Recorded",5239,NA
"447",2008,"Auckland District",1516,1304,457.5,"Total Scene","Offences against justice procedures, government security and government operations","Recorded",2747,NA
"448",2008,"Auckland District",1516,1304,457.5,"Total Scene","Miscellaneous offences","Recorded",213,NA
"449",2009,"Auckland District",1466,1247,462.4,"Total Scene","Total Offences","Recorded",56596,NA
"450",2009,"Auckland District",1466,1247,462.4,"Total Scene","Homicide and related offences","Recorded",6,NA
"451",2009,"Auckland District",1466,1247,462.4,"Total Scene","Acts intended to cause injury","Recorded",3591,NA
"452",2009,"Auckland District",1466,1247,462.4,"Total Scene","Sexual assault and related offences","Recorded",219,NA
"453",2009,"Auckland District",1466,1247,462.4,"Total Scene","Dangerous or negligent acts endangering persons","Recorded",56,NA
"454",2009,"Auckland District",1466,1247,462.4,"Total Scene","Abduction, harassment and other related offences against a person","Recorded",1341,NA
"455",2009,"Auckland District",1466,1247,462.4,"Total Scene","Robbery, extortion and related offences","Recorded",513,NA
"456",2009,"Auckland District",1466,1247,462.4,"Total Scene","Unlawful entry with intent/burglary, break and enter","Recorded",8991,NA
"457",2009,"Auckland District",1466,1247,462.4,"Total Scene","Theft and related offences","Recorded",22724,NA
"458",2009,"Auckland District",1466,1247,462.4,"Total Scene","Fraud, deception and related offences","Recorded",3156,NA
"459",2009,"Auckland District",1466,1247,462.4,"Total Scene","Illicit drug offences","Recorded",2338,NA
"460",2009,"Auckland District",1466,1247,462.4,"Total Scene","Prohibited and regulated weapons and explosives offences","Recorded",664,NA
"461",2009,"Auckland District",1466,1247,462.4,"Total Scene","Property damage and environmental pollution","Recorded",5108,NA
"462",2009,"Auckland District",1466,1247,462.4,"Total Scene","Public order offences","Recorded",5299,NA
"463",2009,"Auckland District",1466,1247,462.4,"Total Scene","Offences against justice procedures, government security and government operations","Recorded",2439,NA
"464",2009,"Auckland District",1466,1247,462.4,"Total Scene","Miscellaneous offences","Recorded",151,NA
"465",2010,"Auckland District",1519,1244,464.7,"Total Scene","Total Offences","Recorded",50991,NA
"466",2010,"Auckland District",1519,1244,464.7,"Total Scene","Homicide and related offences","Recorded",11,NA
"467",2010,"Auckland District",1519,1244,464.7,"Total Scene","Acts intended to cause injury","Recorded",3322,NA
"468",2010,"Auckland District",1519,1244,464.7,"Total Scene","Sexual assault and related offences","Recorded",256,NA
"469",2010,"Auckland District",1519,1244,464.7,"Total Scene","Dangerous or negligent acts endangering persons","Recorded",83,NA
"470",2010,"Auckland District",1519,1244,464.7,"Total Scene","Abduction, harassment and other related offences against a person","Recorded",1200,NA
"471",2010,"Auckland District",1519,1244,464.7,"Total Scene","Robbery, extortion and related offences","Recorded",456,NA
"472",2010,"Auckland District",1519,1244,464.7,"Total Scene","Unlawful entry with intent/burglary, break and enter","Recorded",8909,NA
"473",2010,"Auckland District",1519,1244,464.7,"Total Scene","Theft and related offences","Recorded",22213,NA
"474",2010,"Auckland District",1519,1244,464.7,"Total Scene","Fraud, deception and related offences","Recorded",1437,NA
"475",2010,"Auckland District",1519,1244,464.7,"Total Scene","Illicit drug offences","Recorded",1712,NA
"476",2010,"Auckland District",1519,1244,464.7,"Total Scene","Prohibited and regulated weapons and explosives offences","Recorded",492,NA
"477",2010,"Auckland District",1519,1244,464.7,"Total Scene","Property damage and environmental pollution","Recorded",4623,NA
"478",2010,"Auckland District",1519,1244,464.7,"Total Scene","Public order offences","Recorded",4766,NA
"479",2010,"Auckland District",1519,1244,464.7,"Total Scene","Offences against justice procedures, government security and government operations","Recorded",1393,NA
"480",2010,"Auckland District",1519,1244,464.7,"Total Scene","Miscellaneous offences","Recorded",118,NA
"481",2011,"Auckland District",1600,1381,466.1,"Total Scene","Total Offences","Recorded",55220,NA
"482",2011,"Auckland District",1600,1381,466.1,"Total Scene","Homicide and related offences","Recorded",7,NA
"483",2011,"Auckland District",1600,1381,466.1,"Total Scene","Acts intended to cause injury","Recorded",3531,NA
"484",2011,"Auckland District",1600,1381,466.1,"Total Scene","Sexual assault and related offences","Recorded",272,NA
"485",2011,"Auckland District",1600,1381,466.1,"Total Scene","Dangerous or negligent acts endangering persons","Recorded",104,NA
"486",2011,"Auckland District",1600,1381,466.1,"Total Scene","Abduction, harassment and other related offences against a person","Recorded",1088,NA
"487",2011,"Auckland District",1600,1381,466.1,"Total Scene","Robbery, extortion and related offences","Recorded",492,NA
"488",2011,"Auckland District",1600,1381,466.1,"Total Scene","Unlawful entry with intent/burglary, break and enter","Recorded",9037,NA
"489",2011,"Auckland District",1600,1381,466.1,"Total Scene","Theft and related offences","Recorded",25610,NA
"490",2011,"Auckland District",1600,1381,466.1,"Total Scene","Fraud, deception and related offences","Recorded",1042,NA
"491",2011,"Auckland District",1600,1381,466.1,"Total Scene","Illicit drug offences","Recorded",1695,NA
"492",2011,"Auckland District",1600,1381,466.1,"Total Scene","Prohibited and regulated weapons and explosives offences","Recorded",518,NA
"493",2011,"Auckland District",1600,1381,466.1,"Total Scene","Property damage and environmental pollution","Recorded",4935,NA
"494",2011,"Auckland District",1600,1381,466.1,"Total Scene","Public order offences","Recorded",5497,NA
"495",2011,"Auckland District",1600,1381,466.1,"Total Scene","Offences against justice procedures, government security and government operations","Recorded",1270,NA
"496",2011,"Auckland District",1600,1381,466.1,"Total Scene","Miscellaneous offences","Recorded",122,NA
"497",2012,"Auckland District",1656,1366,475.7,"Total Scene","Total Offences","Recorded",48522,NA
"498",2012,"Auckland District",1656,1366,475.7,"Total Scene","Homicide and related offences","Recorded",4,NA
"499",2012,"Auckland District",1656,1366,475.7,"Total Scene","Acts intended to cause injury","Recorded",3476,NA
"500",2012,"Auckland District",1656,1366,475.7,"Total Scene","Sexual assault and related offences","Recorded",290,NA
"501",2012,"Auckland District",1656,1366,475.7,"Total Scene","Dangerous or negligent acts endangering persons","Recorded",123,NA
"502",2012,"Auckland District",1656,1366,475.7,"Total Scene","Abduction, harassment and other related offences against a person","Recorded",1111,NA
"503",2012,"Auckland District",1656,1366,475.7,"Total Scene","Robbery, extortion and related offences","Recorded",476,NA
"504",2012,"Auckland District",1656,1366,475.7,"Total Scene","Unlawful entry with intent/burglary, break and enter","Recorded",7334,NA
"505",2012,"Auckland District",1656,1366,475.7,"Total Scene","Theft and related offences","Recorded",21393,NA
"506",2012,"Auckland District",1656,1366,475.7,"Total Scene","Fraud, deception and related offences","Recorded",993,NA
"507",2012,"Auckland District",1656,1366,475.7,"Total Scene","Illicit drug offences","Recorded",1607,NA
"508",2012,"Auckland District",1656,1366,475.7,"Total Scene","Prohibited and regulated weapons and explosives offences","Recorded",463,NA
"509",2012,"Auckland District",1656,1366,475.7,"Total Scene","Property damage and environmental pollution","Recorded",4255,NA
"510",2012,"Auckland District",1656,1366,475.7,"Total Scene","Public order offences","Recorded",5641,NA
"511",2012,"Auckland District",1656,1366,475.7,"Total Scene","Offences against justice procedures, government security and government operations","Recorded",1246,NA
"512",2012,"Auckland District",1656,1366,475.7,"Total Scene","Miscellaneous offences","Recorded",110,NA
"513",2013,"Auckland District",1661,1406,473.3,"Total Scene","Total Offences","Recorded",43734,NA
"514",2013,"Auckland District",1661,1406,473.3,"Total Scene","Homicide and related offences","Recorded",6,NA
"515",2013,"Auckland District",1661,1406,473.3,"Total Scene","Acts intended to cause injury","Recorded",3294,NA
"516",2013,"Auckland District",1661,1406,473.3,"Total Scene","Sexual assault and related offences","Recorded",372,NA
"517",2013,"Auckland District",1661,1406,473.3,"Total Scene","Dangerous or negligent acts endangering persons","Recorded",65,NA
"518",2013,"Auckland District",1661,1406,473.3,"Total Scene","Abduction, harassment and other related offences against a person","Recorded",1191,NA
"519",2013,"Auckland District",1661,1406,473.3,"Total Scene","Robbery, extortion and related offences","Recorded",466,NA
"520",2013,"Auckland District",1661,1406,473.3,"Total Scene","Unlawful entry with intent/burglary, break and enter","Recorded",6316,NA
"521",2013,"Auckland District",1661,1406,473.3,"Total Scene","Theft and related offences","Recorded",19957,NA
"522",2013,"Auckland District",1661,1406,473.3,"Total Scene","Fraud, deception and related offences","Recorded",1044,NA
"523",2013,"Auckland District",1661,1406,473.3,"Total Scene","Illicit drug offences","Recorded",1463,NA
"524",2013,"Auckland District",1661,1406,473.3,"Total Scene","Prohibited and regulated weapons and explosives offences","Recorded",421,NA
"525",2013,"Auckland District",1661,1406,473.3,"Total Scene","Property damage and environmental pollution","Recorded",4157,NA
"526",2013,"Auckland District",1661,1406,473.3,"Total Scene","Public order offences","Recorded",3723,NA
"527",2013,"Auckland District",1661,1406,473.3,"Total Scene","Offences against justice procedures, government security and government operations","Recorded",1164,NA
"528",2013,"Auckland District",1661,1406,473.3,"Total Scene","Miscellaneous offences","Recorded",95,NA
"529",2014,"Auckland District",1766,1458,482.7,"Total Scene","Total Offences","Recorded",42297,NA
"530",2014,"Auckland District",1766,1458,482.7,"Total Scene","Homicide and related offences","Recorded",7,NA
"531",2014,"Auckland District",1766,1458,482.7,"Total Scene","Acts intended to cause injury","Recorded",3135,NA
"532",2014,"Auckland District",1766,1458,482.7,"Total Scene","Sexual assault and related offences","Recorded",379,NA
"533",2014,"Auckland District",1766,1458,482.7,"Total Scene","Dangerous or negligent acts endangering persons","Recorded",63,NA
"534",2014,"Auckland District",1766,1458,482.7,"Total Scene","Abduction, harassment and other related offences against a person","Recorded",1235,NA
"535",2014,"Auckland District",1766,1458,482.7,"Total Scene","Robbery, extortion and related offences","Recorded",427,NA
"536",2014,"Auckland District",1766,1458,482.7,"Total Scene","Unlawful entry with intent/burglary, break and enter","Recorded",7269,NA
"537",2014,"Auckland District",1766,1458,482.7,"Total Scene","Theft and related offences","Recorded",19303,NA
"538",2014,"Auckland District",1766,1458,482.7,"Total Scene","Fraud, deception and related offences","Recorded",1205,NA
"539",2014,"Auckland District",1766,1458,482.7,"Total Scene","Illicit drug offences","Recorded",1438,NA
"540",2014,"Auckland District",1766,1458,482.7,"Total Scene","Prohibited and regulated weapons and explosives offences","Recorded",463,NA
"541",2014,"Auckland District",1766,1458,482.7,"Total Scene","Property damage and environmental pollution","Recorded",3294,NA
"542",2014,"Auckland District",1766,1458,482.7,"Total Scene","Public order offences","Recorded",2540,NA
"543",2014,"Auckland District",1766,1458,482.7,"Total Scene","Offences against justice procedures, government security and government operations","Recorded",1434,NA
"544",2014,"Auckland District",1766,1458,482.7,"Total Scene","Miscellaneous offences","Recorded",105,NA
"545",1998,"Waikato District",864,729,113.3,"Total Scene","Total Offences","Recorded",39225,NA
"546",1998,"Waikato District",864,729,113.3,"Total Scene","Homicide and related offences","Recorded",14,NA
"547",1998,"Waikato District",864,729,113.3,"Total Scene","Acts intended to cause injury","Recorded",2204,NA
"548",1998,"Waikato District",864,729,113.3,"Total Scene","Sexual assault and related offences","Recorded",219,NA
"549",1998,"Waikato District",864,729,113.3,"Total Scene","Dangerous or negligent acts endangering persons","Recorded",55,NA
"550",1998,"Waikato District",864,729,113.3,"Total Scene","Abduction, harassment and other related offences against a person","Recorded",601,NA
"551",1998,"Waikato District",864,729,113.3,"Total Scene","Robbery, extortion and related offences","Recorded",167,NA
"552",1998,"Waikato District",864,729,113.3,"Total Scene","Unlawful entry with intent/burglary, break and enter","Recorded",6687,NA
"553",1998,"Waikato District",864,729,113.3,"Total Scene","Theft and related offences","Recorded",15347,NA
"554",1998,"Waikato District",864,729,113.3,"Total Scene","Fraud, deception and related offences","Recorded",2148,NA
"555",1998,"Waikato District",864,729,113.3,"Total Scene","Illicit drug offences","Recorded",2423,NA
"556",1998,"Waikato District",864,729,113.3,"Total Scene","Prohibited and regulated weapons and explosives offences","Recorded",452,NA
"557",1998,"Waikato District",864,729,113.3,"Total Scene","Property damage and environmental pollution","Recorded",4028,NA
"558",1998,"Waikato District",864,729,113.3,"Total Scene","Public order offences","Recorded",3085,NA
"559",1998,"Waikato District",864,729,113.3,"Total Scene","Offences against justice procedures, government security and government operations","Recorded",1013,NA
"560",1998,"Waikato District",864,729,113.3,"Total Scene","Miscellaneous offences","Recorded",782,NA
"561",1999,"Waikato District",839,720,118.6,"Total Scene","Total Offences","Recorded",36782,NA
"562",1999,"Waikato District",839,720,118.6,"Total Scene","Homicide and related offences","Recorded",9,NA
"563",1999,"Waikato District",839,720,118.6,"Total Scene","Acts intended to cause injury","Recorded",2103,NA
"564",1999,"Waikato District",839,720,118.6,"Total Scene","Sexual assault and related offences","Recorded",215,NA
"565",1999,"Waikato District",839,720,118.6,"Total Scene","Dangerous or negligent acts endangering persons","Recorded",43,NA
"566",1999,"Waikato District",839,720,118.6,"Total Scene","Abduction, harassment and other related offences against a person","Recorded",599,NA
"567",1999,"Waikato District",839,720,118.6,"Total Scene","Robbery, extortion and related offences","Recorded",158,NA
"568",1999,"Waikato District",839,720,118.6,"Total Scene","Unlawful entry with intent/burglary, break and enter","Recorded",6659,NA
"569",1999,"Waikato District",839,720,118.6,"Total Scene","Theft and related offences","Recorded",13884,NA
"570",1999,"Waikato District",839,720,118.6,"Total Scene","Fraud, deception and related offences","Recorded",1916,NA
"571",1999,"Waikato District",839,720,118.6,"Total Scene","Illicit drug offences","Recorded",2165,NA
"572",1999,"Waikato District",839,720,118.6,"Total Scene","Prohibited and regulated weapons and explosives offences","Recorded",458,NA
"573",1999,"Waikato District",839,720,118.6,"Total Scene","Property damage and environmental pollution","Recorded",3862,NA
"574",1999,"Waikato District",839,720,118.6,"Total Scene","Public order offences","Recorded",3062,NA
"575",1999,"Waikato District",839,720,118.6,"Total Scene","Offences against justice procedures, government security and government operations","Recorded",1093,NA
"576",1999,"Waikato District",839,720,118.6,"Total Scene","Miscellaneous offences","Recorded",556,NA
"577",2000,"Waikato District",892,770,119.8,"Total Scene","Total Offences","Recorded",33029,NA
"578",2000,"Waikato District",892,770,119.8,"Total Scene","Homicide and related offences","Recorded",9,NA
"579",2000,"Waikato District",892,770,119.8,"Total Scene","Acts intended to cause injury","Recorded",2092,NA
"580",2000,"Waikato District",892,770,119.8,"Total Scene","Sexual assault and related offences","Recorded",212,NA
"581",2000,"Waikato District",892,770,119.8,"Total Scene","Dangerous or negligent acts endangering persons","Recorded",35,NA
"582",2000,"Waikato District",892,770,119.8,"Total Scene","Abduction, harassment and other related offences against a person","Recorded",763,NA
"583",2000,"Waikato District",892,770,119.8,"Total Scene","Robbery, extortion and related offences","Recorded",170,NA
"584",2000,"Waikato District",892,770,119.8,"Total Scene","Unlawful entry with intent/burglary, break and enter","Recorded",5321,NA
"585",2000,"Waikato District",892,770,119.8,"Total Scene","Theft and related offences","Recorded",12308,NA
"586",2000,"Waikato District",892,770,119.8,"Total Scene","Fraud, deception and related offences","Recorded",1560,NA
"587",2000,"Waikato District",892,770,119.8,"Total Scene","Illicit drug offences","Recorded",1985,NA
"588",2000,"Waikato District",892,770,119.8,"Total Scene","Prohibited and regulated weapons and explosives offences","Recorded",414,NA
"589",2000,"Waikato District",892,770,119.8,"Total Scene","Property damage and environmental pollution","Recorded",3737,NA
"590",2000,"Waikato District",892,770,119.8,"Total Scene","Public order offences","Recorded",2633,NA
"591",2000,"Waikato District",892,770,119.8,"Total Scene","Offences against justice procedures, government security and government operations","Recorded",1278,NA
"592",2000,"Waikato District",892,770,119.8,"Total Scene","Miscellaneous offences","Recorded",512,NA
"593",2001,"Waikato District",921,806,119.6,"Total Scene","Total Offences","Recorded",32188,NA
"594",2001,"Waikato District",921,806,119.6,"Total Scene","Homicide and related offences","Recorded",5,NA
"595",2001,"Waikato District",921,806,119.6,"Total Scene","Acts intended to cause injury","Recorded",2083,NA
"596",2001,"Waikato District",921,806,119.6,"Total Scene","Sexual assault and related offences","Recorded",256,NA
"597",2001,"Waikato District",921,806,119.6,"Total Scene","Dangerous or negligent acts endangering persons","Recorded",38,NA
"598",2001,"Waikato District",921,806,119.6,"Total Scene","Abduction, harassment and other related offences against a person","Recorded",685,NA
"599",2001,"Waikato District",921,806,119.6,"Total Scene","Robbery, extortion and related offences","Recorded",145,NA
"600",2001,"Waikato District",921,806,119.6,"Total Scene","Unlawful entry with intent/burglary, break and enter","Recorded",4185,NA
"601",2001,"Waikato District",921,806,119.6,"Total Scene","Theft and related offences","Recorded",11789,NA
"602",2001,"Waikato District",921,806,119.6,"Total Scene","Fraud, deception and related offences","Recorded",1575,NA
"603",2001,"Waikato District",921,806,119.6,"Total Scene","Illicit drug offences","Recorded",2837,NA
"604",2001,"Waikato District",921,806,119.6,"Total Scene","Prohibited and regulated weapons and explosives offences","Recorded",384,NA
"605",2001,"Waikato District",921,806,119.6,"Total Scene","Property damage and environmental pollution","Recorded",3644,NA
"606",2001,"Waikato District",921,806,119.6,"Total Scene","Public order offences","Recorded",2614,NA
"607",2001,"Waikato District",921,806,119.6,"Total Scene","Offences against justice procedures, government security and government operations","Recorded",1251,NA
"608",2001,"Waikato District",921,806,119.6,"Total Scene","Miscellaneous offences","Recorded",697,NA
"609",2002,"Waikato District",999,864,121.9,"Total Scene","Total Offences","Recorded",32947,NA
"610",2002,"Waikato District",999,864,121.9,"Total Scene","Homicide and related offences","Recorded",12,NA
"611",2002,"Waikato District",999,864,121.9,"Total Scene","Acts intended to cause injury","Recorded",2111,NA
"612",2002,"Waikato District",999,864,121.9,"Total Scene","Sexual assault and related offences","Recorded",218,NA
"613",2002,"Waikato District",999,864,121.9,"Total Scene","Dangerous or negligent acts endangering persons","Recorded",32,NA
"614",2002,"Waikato District",999,864,121.9,"Total Scene","Abduction, harassment and other related offences against a person","Recorded",689,NA
"615",2002,"Waikato District",999,864,121.9,"Total Scene","Robbery, extortion and related offences","Recorded",156,NA
"616",2002,"Waikato District",999,864,121.9,"Total Scene","Unlawful entry with intent/burglary, break and enter","Recorded",4875,NA
"617",2002,"Waikato District",999,864,121.9,"Total Scene","Theft and related offences","Recorded",12707,NA
"618",2002,"Waikato District",999,864,121.9,"Total Scene","Fraud, deception and related offences","Recorded",1509,NA
"619",2002,"Waikato District",999,864,121.9,"Total Scene","Illicit drug offences","Recorded",2329,NA
"620",2002,"Waikato District",999,864,121.9,"Total Scene","Prohibited and regulated weapons and explosives offences","Recorded",429,NA
"621",2002,"Waikato District",999,864,121.9,"Total Scene","Property damage and environmental pollution","Recorded",3660,NA
"622",2002,"Waikato District",999,864,121.9,"Total Scene","Public order offences","Recorded",2258,NA
"623",2002,"Waikato District",999,864,121.9,"Total Scene","Offences against justice procedures, government security and government operations","Recorded",1246,NA
"624",2002,"Waikato District",999,864,121.9,"Total Scene","Miscellaneous offences","Recorded",716,NA
"625",2003,"Waikato District",1017,896,126.4,"Total Scene","Total Offences","Recorded",31075,NA
"626",2003,"Waikato District",1017,896,126.4,"Total Scene","Homicide and related offences","Recorded",8,NA
"627",2003,"Waikato District",1017,896,126.4,"Total Scene","Acts intended to cause injury","Recorded",2178,NA
"628",2003,"Waikato District",1017,896,126.4,"Total Scene","Sexual assault and related offences","Recorded",231,NA
"629",2003,"Waikato District",1017,896,126.4,"Total Scene","Dangerous or negligent acts endangering persons","Recorded",46,NA
"630",2003,"Waikato District",1017,896,126.4,"Total Scene","Abduction, harassment and other related offences against a person","Recorded",627,NA
"631",2003,"Waikato District",1017,896,126.4,"Total Scene","Robbery, extortion and related offences","Recorded",129,NA
"632",2003,"Waikato District",1017,896,126.4,"Total Scene","Unlawful entry with intent/burglary, break and enter","Recorded",4254,NA
"633",2003,"Waikato District",1017,896,126.4,"Total Scene","Theft and related offences","Recorded",11657,NA
"634",2003,"Waikato District",1017,896,126.4,"Total Scene","Fraud, deception and related offences","Recorded",1023,NA
"635",2003,"Waikato District",1017,896,126.4,"Total Scene","Illicit drug offences","Recorded",2235,NA
"636",2003,"Waikato District",1017,896,126.4,"Total Scene","Prohibited and regulated weapons and explosives offences","Recorded",472,NA
"637",2003,"Waikato District",1017,896,126.4,"Total Scene","Property damage and environmental pollution","Recorded",3587,NA
"638",2003,"Waikato District",1017,896,126.4,"Total Scene","Public order offences","Recorded",3055,NA
"639",2003,"Waikato District",1017,896,126.4,"Total Scene","Offences against justice procedures, government security and government operations","Recorded",1234,NA
"640",2003,"Waikato District",1017,896,126.4,"Total Scene","Miscellaneous offences","Recorded",339,NA
"641",2004,"Waikato District",1081,882,127.2,"Total Scene","Total Offences","Recorded",29083,NA
"642",2004,"Waikato District",1081,882,127.2,"Total Scene","Homicide and related offences","Recorded",2,NA
"643",2004,"Waikato District",1081,882,127.2,"Total Scene","Acts intended to cause injury","Recorded",2039,NA
"644",2004,"Waikato District",1081,882,127.2,"Total Scene","Sexual assault and related offences","Recorded",190,NA
"645",2004,"Waikato District",1081,882,127.2,"Total Scene","Dangerous or negligent acts endangering persons","Recorded",42,NA
"646",2004,"Waikato District",1081,882,127.2,"Total Scene","Abduction, harassment and other related offences against a person","Recorded",594,NA
"647",2004,"Waikato District",1081,882,127.2,"Total Scene","Robbery, extortion and related offences","Recorded",149,NA
"648",2004,"Waikato District",1081,882,127.2,"Total Scene","Unlawful entry with intent/burglary, break and enter","Recorded",4083,NA
"649",2004,"Waikato District",1081,882,127.2,"Total Scene","Theft and related offences","Recorded",11027,NA
"650",2004,"Waikato District",1081,882,127.2,"Total Scene","Fraud, deception and related offences","Recorded",858,NA
"651",2004,"Waikato District",1081,882,127.2,"Total Scene","Illicit drug offences","Recorded",1520,NA
"652",2004,"Waikato District",1081,882,127.2,"Total Scene","Prohibited and regulated weapons and explosives offences","Recorded",395,NA
"653",2004,"Waikato District",1081,882,127.2,"Total Scene","Property damage and environmental pollution","Recorded",3384,NA
"654",2004,"Waikato District",1081,882,127.2,"Total Scene","Public order offences","Recorded",3317,NA
"655",2004,"Waikato District",1081,882,127.2,"Total Scene","Offences against justice procedures, government security and government operations","Recorded",1335,NA
"656",2004,"Waikato District",1081,882,127.2,"Total Scene","Miscellaneous offences","Recorded",148,NA
"657",2005,"Waikato District",1141,997,127.7,"Total Scene","Total Offences","Recorded",31435,NA
"658",2005,"Waikato District",1141,997,127.7,"Total Scene","Homicide and related offences","Recorded",7,NA
"659",2005,"Waikato District",1141,997,127.7,"Total Scene","Acts intended to cause injury","Recorded",2254,NA
"660",2005,"Waikato District",1141,997,127.7,"Total Scene","Sexual assault and related offences","Recorded",186,NA
"661",2005,"Waikato District",1141,997,127.7,"Total Scene","Dangerous or negligent acts endangering persons","Recorded",31,NA
"662",2005,"Waikato District",1141,997,127.7,"Total Scene","Abduction, harassment and other related offences against a person","Recorded",620,NA
"663",2005,"Waikato District",1141,997,127.7,"Total Scene","Robbery, extortion and related offences","Recorded",119,NA
"664",2005,"Waikato District",1141,997,127.7,"Total Scene","Unlawful entry with intent/burglary, break and enter","Recorded",4884,NA
"665",2005,"Waikato District",1141,997,127.7,"Total Scene","Theft and related offences","Recorded",11765,NA
"666",2005,"Waikato District",1141,997,127.7,"Total Scene","Fraud, deception and related offences","Recorded",918,NA
"667",2005,"Waikato District",1141,997,127.7,"Total Scene","Illicit drug offences","Recorded",1624,NA
"668",2005,"Waikato District",1141,997,127.7,"Total Scene","Prohibited and regulated weapons and explosives offences","Recorded",520,NA
"669",2005,"Waikato District",1141,997,127.7,"Total Scene","Property damage and environmental pollution","Recorded",3887,NA
"670",2005,"Waikato District",1141,997,127.7,"Total Scene","Public order offences","Recorded",3074,NA
"671",2005,"Waikato District",1141,997,127.7,"Total Scene","Offences against justice procedures, government security and government operations","Recorded",1422,NA
"672",2005,"Waikato District",1141,997,127.7,"Total Scene","Miscellaneous offences","Recorded",124,NA
"673",2006,"Waikato District",1192,1074,130.3,"Total Scene","Total Offences","Recorded",34415,NA
"674",2006,"Waikato District",1192,1074,130.3,"Total Scene","Homicide and related offences","Recorded",3,NA
"675",2006,"Waikato District",1192,1074,130.3,"Total Scene","Acts intended to cause injury","Recorded",2483,NA
"676",2006,"Waikato District",1192,1074,130.3,"Total Scene","Sexual assault and related offences","Recorded",203,NA
